"Geography 4 5","August 2024","September 2024","October 2024","November 2024","December 2024"
"Stratford-Bruce Peninsula, Ontario","3.7","4.3","3.8","3.2","3.6"
"Northeast, Ontario","6.2","6.2","6.1","5.5","5.5"
"Northwest, Ontario","4.4","4.7","4.7","4.6","4.9"
"Manitoba","6.1","6.3","6.0","5.4","5.6"
"Southeast, Manitoba","4.6","4.4","4.2","4.1","4.2"
"South Central and North Central, Manitoba","5.7","5.3","5.7","4.5","5.2"
"Southwest, Manitoba","5.2","4.6","4.7","4.1","4.8"
"Winnipeg, Manitoba","6.6","6.9","6.5","5.9","5.9"
"Interlake, Manitoba","4.4","4.8","5.0","4.3","4.6"
"Parklands and North, Manitoba","8.6","9.0","7.8","6.5","7.9"
"Saskatchewan","5.8","5.8","5.5","5.0","5.1"
"Regina-Moose Mountain, Saskatchewan","6.1","5.9","5.3","4.8","5.6"
"Swift Current-Moose Jaw, Saskatchewan","5.5","6.0","6.1","5.2","5.2"
"Saskatoon-Biggar, Saskatchewan","5.3","5.4","5.2","4.8","4.3"
"Yorkton-Melville, Saskatchewan","5.5","6.1","6.2","5.6","5.6"
"Prince Albert and Northern, Saskatchewan","6.7","6.5","5.7","5.5","5.5"
"Alberta","7.3","7.4","7.2","6.8","6.6"
"Lethbridge-Medicine Hat, Alberta","5.4","6.1","6.8","6.2","5.4"
"Camrose-Drumheller, Alberta","4.7","4.7","4.3","4.3","5.1"
"Calgary, Alberta","7.4","7.2","7.4","7.3","7.2"
"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta","4.8","5.1","4.9","4.0","3.7"
"Red Deer, Alberta","7.8","7.6","6.6","6.9","7.6"
"Edmonton, Alberta","8.4","8.6","7.9","7.4","6.8"
"Wood Buffalo-Cold Lake, Alberta 6","7.0","7.2","6.7","5.8","5.9"
"British Columbia","5.8","6.0","5.8","5.5","5.4"
"Vancouver Island and Coast, British Columbia","4.0","4.5","4.6","4.4","4.2"
"Lower Mainland-Southwest, British Columbia","6.3","6.5","6.3","6.0","5.8"
"Thompson-Okanagan, British Columbia","5.8","5.2","4.6","4.3","5.1"
"Kootenay, British Columbia","7.0","5.7","5.2","3.6","3.0"
"Cariboo, British Columbia","4.9","5.2","5.3","5.8","6.2"
"North Coast and Nechako, British Columbia","7.6","7.9","7.5","5.4","5.0"
"Northeast, British Columbia","6.2","5.7","4.9","5.0","4.6"




Footnotes:
1,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are supressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality."
2,"This table has been archived and replaced by table 14-10-0462-01."
3,"The unemployment rate is the number of unemployed persons expressed as a percentage of the labour force. The unemployment rate for a particular group (age, sex, marital status, etcetera) is the number unemployed in that group expressed as a percentage of the labour force for that group. Estimates are percentages, rounded to the nearest tenth."
4,"An economic region is a geographical unit generally composed of several census divisions within a province. While 73 regions are defined for the purposes of sampling, some areas are too small to enable production of independent estimates from the survey. These small regions are grouped with a neighbouring region with similar economic characteristics. In the case of Prince Edward Island, the province constitutes one economic region. For geographic descriptions of economic regions, refer to the Guide to the Labour Force Survey (catalogue number 71-543-GIE)."
