"Census Profile, 2021 Census of Population"
,,,"British Columbia [Province]",,,,,,,,,,,,
"Income of individuals in 2020","    Average after-tax income in 2020 among recipients ($)",, 45600,"", 51900,"", 39600,"", 45600,"", 51900,"", 39600,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data",,3654285,"",1807745,"",1846535,"",   87.0,"",   88.3,"",   85.8,"",
"Income of individuals in 2020","    Average market income in 2020 among recipients ($)",, 50520,"", 60800,"", 40440,"", 50520,"", 60800,"", 40440,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data",,2886325,"",1472690,"",1413635,"",   68.7,"",   71.9,"",   65.7,"",
"Income of individuals in 2020","    Average employment income in 2020 among recipients ($)",, 50520,"", 59800,"", 40840,"", 50520,"", 59800,"", 40840,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data",,3374170,"",1553970,"",1820205,"",   80.3,"",   75.9,"",   84.6,"",
"Income of individuals in 2020","    Average government transfers in 2020 among recipients ($)",, 11030,"", 10490,"", 11490,"", 11030,"", 10490,"", 11490,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data",,368410,"",167495,"",200910,"",    8.8,"",    8.2,"",    9.3,"",
"Income of individuals in 2020","    Average employment insurance benefits in 2020 among recipients ($)",,  6540,"",  6030,"",  6970,"",  6540,"",  6030,"",  6970,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data",,1102145,"",524940,"",577205,"",   26.2,"",   25.6,"",   26.8,"",
"Income of individuals in 2020","    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  9110,"",  8940,"",  9260,"",  9110,"",  8940,"",  9260,"",
"Income of individuals in 2020","Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",12,4200420,"",2048395,"",2152030,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data",13,1301410,"",737105,"",564300,"",   31.0,"",   36.0,"",   26.2,"",
"Income of individuals in 2020","    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14, 65000,"", 71500,"", 57600,"", 65000,"", 71500,"", 57600,"",
"Income of individuals in 2020","    Average employment income in 2020 for full-year full-time workers in 2020 ($)",15, 77700,"", 86600,"", 66000,"", 77700,"", 86600,"", 66000,"",
"Income of individuals in 2020","  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data",16,1195830,"",547835,"",647995,"",   28.5,"",   26.7,"",   30.1,"",
"Income of individuals in 2020","    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($)",, 19400,"", 22400,"", 17400,"", 19400,"", 22400,"", 17400,"",
"Income of individuals in 2020","    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($)",, 30560,"", 36160,"", 25840,"", 30560,"", 36160,"", 25840,"",
"Income of individuals in 2020","Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data",17,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Market income (%)",18,   83.2,"",   87.0,"",   78.2,"",   83.2,"",   87.0,"",   78.2,"",
"Income of individuals in 2020","    Employment income (%)",19,   65.8,"",   69.8,"",   60.4,"",   65.8,"",   69.8,"",   60.4,"",
"Income of individuals in 2020","  Government transfers (%)",20,   16.8,"",   12.9,"",   21.9,"",   16.8,"",   12.9,"",   21.9,"",
"Income of individuals in 2020","    Employment insurance benefits (%)",,    1.1,"",    0.8,"",    1.5,"",    1.1,"",    0.8,"",    1.5,"",
"Income of individuals in 2020","    COVID-19 - Government income support and benefits (%)",,    5.6,"",    4.5,"",    7.1,"",    5.6,"",    4.5,"",    7.1,"",
"Income of individuals in 2020","      COVID-19 - Emergency and recovery benefits (%)",,    4.5,"",    3.7,"",    5.6,"",    4.5,"",    3.7,"",    5.6,"",
"Income of individuals in 2020","Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data",21,4200500,"",2048300,"",2152200,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Without total income",,124155,"", 60445,"", 63710,"",    3.0,"",    3.0,"",    3.0,"",
"Income of individuals in 2020","  With total income",,4076350,"",1987855,"",2088490,"",   97.0,"",   97.0,"",   97.0,"",
"Income of individuals in 2020","    Under $10,000 (including loss)",,385230,"",166325,"",218900,"",    9.5,"",    8.4,"",   10.5,"",
"Income of individuals in 2020","    $10,000 to $19,999",,474245,"",197530,"",276715,"",   11.6,"",    9.9,"",   13.2,"",
"Income of individuals in 2020","    $20,000 to $29,999",,627895,"",264860,"",363035,"",   15.4,"",   13.3,"",   17.4,"",
"Income of individuals in 2020","    $30,000 to $39,999",,515780,"",222825,"",292955,"",   12.7,"",   11.2,"",   14.0,"",
"Income of individuals in 2020","    $40,000 to $49,999",,442130,"",198985,"",243150,"",   10.8,"",   10.0,"",   11.6,"",
"Income of individuals in 2020","    $50,000 to $59,999",,363335,"",172380,"",190950,"",    8.9,"",    8.7,"",    9.1,"",
"Income of individuals in 2020","    $60,000 to $69,999",,284130,"",149100,"",135030,"",    7.0,"",    7.5,"",    6.5,"",
"Income of individuals in 2020","    $70,000 to $79,999",,221755,"",125565,"", 96190,"",    5.4,"",    6.3,"",    4.6,"",
"Income of individuals in 2020","    $80,000 to $89,999",,172110,"",101195,"", 70915,"",    4.2,"",    5.1,"",    3.4,"",
"Income of individuals in 2020","    $90,000 to $99,999",,136185,"", 81180,"", 55005,"",    3.3,"",    4.1,"",    2.6,"",
"Income of individuals in 2020","    $100,000 and over",,453550,"",307905,"",145645,"",   11.1,"",   15.5,"",    7.0,"",
"Income of individuals in 2020","      $100,000 to $149,999",,297440,"",194595,"",102850,"",    7.3,"",    9.8,"",    4.9,"",
"Income of individuals in 2020","      $150,000 and over",,156105,"",113310,"", 42800,"",    3.8,"",    5.7,"",    2.0,"",
"Income of individuals in 2020","Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data",22,4200500,"",2048300,"",2152200,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Without after-tax income",,121690,"", 59120,"", 62575,"",    2.9,"",    2.9,"",    2.9,"",
"Income of individuals in 2020","  With after-tax income",,4078810,"",1989185,"",2089630,"",   97.1,"",   97.1,"",   97.1,"",
"Income of individuals in 2020","    Under $10,000 (including loss)",,402375,"",172800,"",229575,"",    9.9,"",    8.7,"",   11.0,"",
"Income of individuals in 2020","    $10,000 to $19,999",,490875,"",204625,"",286255,"",   12.0,"",   10.3,"",   13.7,"",
"Income of individuals in 2020","    $20,000 to $29,999",,705795,"",299550,"",406245,"",   17.3,"",   15.1,"",   19.4,"",
"Income of individuals in 2020","    $30,000 to $39,999",,593485,"",261620,"",331865,"",   14.6,"",   13.2,"",   15.9,"",
"Income of individuals in 2020","    $40,000 to $49,999",,502775,"",233645,"",269135,"",   12.3,"",   11.7,"",   12.9,"",
"Income of individuals in 2020","    $50,000 to $59,999",,387850,"",198895,"",188955,"",    9.5,"",   10.0,"",    9.0,"",
"Income of individuals in 2020","    $60,000 to $69,999",,283825,"",160510,"",123315,"",    7.0,"",    8.1,"",    5.9,"",
"Income of individuals in 2020","    $70,000 to $79,999",,207535,"",122690,"", 84840,"",    5.1,"",    6.2,"",    4.1,"",
"Income of individuals in 2020","    $80,000 to $89,999",,150155,"", 91640,"", 58515,"",    3.7,"",    4.6,"",    2.8,"",
"Income of individuals in 2020","    $90,000 to $99,999",, 99015,"", 63800,"", 35220,"",    2.4,"",    3.2,"",    1.7,"",
"Income of individuals in 2020","    $100,000 and over",,255125,"",179415,"", 75715,"",    6.3,"",    9.0,"",    3.6,"",
"Income of individuals in 2020","      $100,000 to $124,999",,127025,"", 86835,"", 40195,"",    3.1,"",    4.4,"",    1.9,"",
"Income of individuals in 2020","      $125,000 and over",,128100,"", 92585,"", 35515,"",    3.1,"",    4.7,"",    1.7,"",
"Income of individuals in 2020","Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data",19,4200500,"",2048300,"",2152200,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Without employment income",,1314135,"",576965,"",737165,"",   31.3,"",   28.2,"",   34.3,"",
"Income of individuals in 2020","  With employment income",,2886365,"",1471335,"",1415035,"",   68.7,"",   71.8,"",   65.7,"",
"Income of individuals in 2020","    Under $5,000 (including loss)",,397640,"",182895,"",214745,"",   13.8,"",   12.4,"",   15.2,"",
"Income of individuals in 2020","    $5,000 to $9,999",,234130,"", 99970,"",134165,"",    8.1,"",    6.8,"",    9.5,"",
"Income of individuals in 2020","    $10,000 to $19,999",,339265,"",147650,"",191615,"",   11.8,"",   10.0,"",   13.5,"",
"Income of individuals in 2020","    $20,000 to $29,999",,266065,"",118485,"",147580,"",    9.2,"",    8.1,"",   10.4,"",
"Income of individuals in 2020","    $30,000 to $39,999",,257235,"",116285,"",140950,"",    8.9,"",    7.9,"",   10.0,"",
"Income of individuals in 2020","    $40,000 to $49,999",,247550,"",116085,"",131470,"",    8.6,"",    7.9,"",    9.3,"",
"Income of individuals in 2020","    $50,000 to $59,999",,230030,"",112805,"",117220,"",    8.0,"",    7.7,"",    8.3,"",
"Income of individuals in 2020","    $60,000 to $69,999",,190470,"",105215,"", 85260,"",    6.6,"",    7.2,"",    6.0,"",
"Income of individuals in 2020","    $70,000 to $79,999",,154990,"", 91615,"", 63375,"",    5.4,"",    6.2,"",    4.5,"",
"Income of individuals in 2020","    $80,000 to $89,999",,128265,"", 77550,"", 50715,"",    4.4,"",    5.3,"",    3.6,"",
"Income of individuals in 2020","    $90,000 to $99,999",,105855,"", 64420,"", 41430,"",    3.7,"",    4.4,"",    2.9,"",
"Income of individuals in 2020","    $100,000 and over",,334875,"",238370,"", 96505,"",   11.6,"",   16.2,"",    6.8,"",
"Income of individuals in 2020","      $100,000 to $124,999",,154515,"",102955,"", 51560,"",    5.4,"",    7.0,"",    3.6,"",
"Income of individuals in 2020","      $125,000 and over",,180360,"",135420,"", 44940,"",    6.2,"",    9.2,"",    3.2,"",
"Income of individuals in 2019","Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data",23,4200500,"",2048300,"",2152200,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2019","  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data",,3960225,"",1926690,"",2033535,"",   94.3,"",   94.1,"",   94.5,"",
"Income of individuals in 2019","    Median total income in 2019 among recipients ($)",, 38400,"", 46000,"", 32800,"", 38400,"", 46000,"", 32800,"",
"Income of individuals in 2019","  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data",,3968465,"",1928380,"",2040085,"",   94.5,"",   94.1,"",   94.8,"",
"Income of individuals in 2019","    Median after-tax income in 2019 among recipients ($)",, 34800,"", 40800,"", 30000,"", 34800,"", 40800,"", 30000,"",
"Income of individuals in 2019","  Number of market income recipients aged 15 years and over in private households in 2019 - 100% data",,3614710,"",1784370,"",1830340,"",   86.1,"",   87.1,"",   85.0,"",
"Income of individuals in 2019","    Median market income in 2019 among recipients ($)",, 36400,"", 44800,"", 29800,"", 36400,"", 44800,"", 29800,"",
"Income of individuals in 2019","  Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data",,2972225,"",1505485,"",1466740,"",   70.8,"",   73.5,"",   68.2,"",
"Income of individuals in 2019","    Median employment income in 2019 among recipients ($)",, 36800,"", 45200,"", 30600,"", 36800,"", 45200,"", 30600,"",
"Income of individuals in 2019","  Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data",,2715540,"",1173320,"",1542220,"",   64.6,"",   57.3,"",   71.7,"",
"Income of individuals in 2019","    Median government transfers in 2019 among recipients ($)",,  5880,"",  4520,"",  6450,"",  5880,"",  4520,"",  6450,"",
"Income of individuals in 2019","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data",,258710,"",115865,"",142845,"",    6.2,"",    5.7,"",    6.6,"",
"Income of individuals in 2019","    Median employment insurance benefits in 2019 among recipients ($)",,  5480,"",  5120,"",  5800,"",  5480,"",  5120,"",  5800,"",
"Income of individuals in 2019","Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data",24,4200425,"",2048395,"",2152030,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2019","  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data",,3959300,"",1926475,"",2032835,"",   94.3,"",   94.0,"",   94.5,"",
"Income of individuals in 2019","    Average total income in 2019 among recipients ($)",, 52300,"", 62250,"", 42880,"", 52300,"", 62250,"", 42880,"",
